Date	Time	ID	Location	Direction	WalkDist	NumSpiders	NumWebs	NumFem	NumMales	SubUsed	TotalSub	PercentUsed	road_dist_m	road	highway_dist_m	highway	road_dist_data	road_data	road_traffic	road_year	highway_traffic	highway_year	dist_traffic_road	dist_traffic_highway	Land	Tree	Imperv	tree100m	imperv100m	spec_rad	light_rad	patch_area_mm	patch_area_km	road_length_m	trail_length_m
10/5/20	14:30:00	C38	Campus	East	12	7	11	7	0	2	4	0.5	11.57876558	VINE	792.6468768	I180	11.57876558	VINE	3540	2018	26840	2019	305.7320728	33.86123226	UrbanizedHighIntensity	0	81	0.5821	79.57599	154.502244	96.359852	77.3458	7.73458E-05	116.9541	0
10/13/20	14:30:00	C40	Campus	South	180	1	7	1	0	1	6	0.166666667	3.092327801	16TH	945.715432	I180	3.092327801	16TH	3170	2018	26840	2019	1025.117712	28.38063025	UrbanizedMediumIntensity	0	61	0	83.41074	153.048443	74.999925	825.1891	0.000825189	81.513	0
10/4/20	14:30:00	F01	Forest	West	29	3	3	2	1	3	15	0.2	371.5597977	1ST	700.3704513	HWY77	700.2682703	HOMESTEAD	30280	2018	30280	2018	43.2405712	43.23426259	DeciduousForest	55	0	44.56715	0	136.821517	4.347885	10999.5629	0.010999563	0	171.1574
9/28/20	15:00:00	F02	Forest	North	260	1	2	1	0	2	7	0.285714286	60.87295757	1ST	489.9570994	HWY77	487.738125	HOMESTEAD	23520	2015	23520	2015	48.22259896	48.00420287	WoodyWetlands	65	0	41.325061	1.894909	138.895704	12.29375	31576.8565	0.031576857	48.0518	85.3033
9/28/20	16:00:00	F04	Forest	South	7	3	3	2	1	4	7	0.571428571	192.783371	CALVERT	735.9026555	HWY77	734.4779066	HOMESTEAD	23520	2015	23520	2015	32.02274675	31.96074892	DeciduousForest	65	0	36.611002	0	138.938472	10.00001	20336.2154	0.020336215	0	95.1429
10/4/20	16:00:00	F06	Forest	South	180	2	3	2	0	3	13	0.230769231	247.1951549	1ST	751.3309152	HWY77	399.5849511	PIONEERS	8900	2019	30280	2018	22.27311107	40.3018156	DeciduousForest	64	0	55.544766	0	136.802794	4.559619	53019.5857	0.053019586	0	94.4855
10/4/20	17:45:00	F07	Forest	North	74	2	3	2	0	2	14	0.142857143	363.6443717	1ST	800.0024154	HWY77	578.8855656	PIONEERS	8900	2019	30280	2018	15.37436849	37.84988572	DeciduousForest	62	0	49.559777	0	136.12435	4.400859	53019.5857	0.053019586	0	165.6587
10/8/20	14:10:00	F14	Forest	South	270	1	2	1	0	2	13	0.153846154	54.68043985	OLDCHENEY	622.9905075	HWY77	54.68043985	OLDCHENEY	13610	2019	30280	2018	248.9007045	48.60427187	DeciduousForest	46	0	41.185754	5.327918	140.069398	5	37432.339	0.037432339	50.643	60.6506
10/8/20	16:00:00	F16	Forest	South	150	1	3	1	0	3	12	0.25	198.7944274	OLDCHENEY	422.2552675	55W	198.7944274	OLDCHENEY	13610	2019	9160	2021	68.46268368	21.69303903	WoodyWetlands	69	0	65.865258	0	136.409142	5.742758	18049.1832	0.018049183	0	131.8382
10/7/20	16:20:00	F18	Forest	Northwest	2	2	4	2	0	4	23	0.173913043	267.0443928	HOMESTEAD	269.1326279	HWY77	267.0443928	HOMESTEAD	11100	2021	11100	2021	41.56612271	41.24360576	DeciduousForest	47	0	48.876435	0	136.9323	4.490257	54498.6472	0.054498647	0	128.9302
10/9/20	16:30:00	F19	Forest	Southwest	42	2	3	2	0	2	7	0.285714286	344.9730658	MOCKINGBIRD	420.972019	HWY77	357.6886178	ACCESSROAD	7610	2016	11640	2021	21.27548829	27.65029378	WoodyWetlands	64	0	56.624797	0.955806	137.350827	6.0204	130306.8501	0.13030685	0	90.9377
10/14/20	17:00:00	F20	Forest	South	79	2	4	2	0	2	22	0.090909091	33.05343807	14TH	674.4533935	HWY77	33.05343807	14TH	16590	2021	10750	2020	501.9145048	15.93883299	DeciduousForest	0	0	31.373422	4.546412	136.085937	2.00051	53707.809	0.053707809	57.2666	105.5567
